epoch,accuracy,loss,val_accuracy,val_loss
0,0.0,5.267410755157471,0.0,3.321269989013672
1,0.0,4.362417697906494,0.0,3.290027141571045
2,0.0,4.00773286819458,0.0,3.2434096336364746
3,0.0,3.658219337463379,0.0,3.182929277420044
4,0.0,3.4227747917175293,0.0,3.1232969760894775
5,0.0,3.230583906173706,0.0,3.0559146404266357
6,0.0,3.1589338779449463,0.0,3.0125181674957275
7,0.0,3.0066275596618652,0.0,2.9297308921813965
8,0.0,2.9612247943878174,0.0,2.842144012451172
9,0.0,2.9015252590179443,0.0,2.7750096321105957
10,0.0,2.7887213230133057,0.0,2.7137510776519775
11,0.0,2.666841506958008,0.0,2.6024675369262695
12,2.8178539650980383e-05,2.635066509246826,0.0,2.4692647457122803
13,0.0,2.5220625400543213,0.0,2.383855104446411
14,0.0,2.5322022438049316,0.0,2.290757656097412
15,0.0,2.4676690101623535,0.0,2.2081007957458496
16,0.0,2.4175593852996826,0.0,2.0922162532806396
17,0.0,2.4032773971557617,0.0,2.0203709602355957
18,2.8178539650980383e-05,2.3231823444366455,0.0,1.9417469501495361
19,0.0,2.344680070877075,0.0,1.818320631980896
20,0.0,2.259187698364258,0.0,1.7169383764266968
21,2.8178539650980383e-05,2.2762441635131836,0.0,1.684051513671875
22,2.8178539650980383e-05,2.233295440673828,0.0,1.6487520933151245
23,0.0,2.1831727027893066,0.0,1.5974284410476685
24,0.0,2.209782123565674,0.0,1.549382209777832
25,0.0,2.1867830753326416,0.0,1.5524358749389648
26,2.8178539650980383e-05,2.1659090518951416,0.0,1.5409573316574097
27,0.0,2.1260435581207275,0.0,1.4964860677719116
