epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.902899980545044,0.3579240143299103,0.0005,0.9613999724388123,0.13623705506324768
1,0.9685166478157043,0.1085389032959938,0.0005,0.9757000207901001,0.07699292153120041
2,0.9786666631698608,0.07084693759679794,0.0005,0.9829000234603882,0.05258673056960106
3,0.9843833446502686,0.05170656740665436,0.0002,0.9848999977111816,0.04501783475279808
4,0.98621666431427,0.04625372588634491,0.0002,0.9861000180244446,0.042749207466840744
5,0.987766683101654,0.041970327496528625,0.0002,0.9865000247955322,0.04087607190012932
6,0.9897000193595886,0.03607985004782677,5e-05,0.9872999787330627,0.03675615414977074
7,0.990066647529602,0.03492134436964989,5e-05,0.988099992275238,0.0361369326710701
8,0.9904666543006897,0.034004148095846176,5e-05,0.9879000186920166,0.03573001176118851
9,0.9905499815940857,0.033222801983356476,5e-05,0.988099992275238,0.03510298579931259
10,0.991349995136261,0.03153562918305397,1e-05,0.9879000186920166,0.03472721576690674
11,0.9914000034332275,0.03124197944998741,1e-05,0.9882000088691711,0.034307047724723816
12,0.9914666414260864,0.031076984480023384,1e-05,0.9879000186920166,0.03466004505753517
13,0.9914500117301941,0.030891504138708115,1e-05,0.9879999756813049,0.034350164234638214
14,0.9917333126068115,0.03069240227341652,1e-05,0.988099992275238,0.034328289330005646
15,0.9917500019073486,0.030552152544260025,1e-05,0.9883000254631042,0.03397512063384056
16,0.9918166399002075,0.030378105118870735,1e-05,0.9879999756813049,0.033818721771240234
17,0.9918333292007446,0.030185962095856667,1e-05,0.9879999756813049,0.033934637904167175
18,0.9917833209037781,0.03003452904522419,1e-05,0.9879999756813049,0.033816657960414886
19,0.9920166730880737,0.029847310855984688,1e-05,0.9876000285148621,0.033550940454006195
